Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time,Capacity
111,2024-06-21 09:47:20,15.626999999999999,2024,06,21,09,47,20,,
111,2024-06-21 09:47:21,15.626999999999999,2024,06,21,09,47,21,,
111,2024-06-21 09:47:22,15.626999999999999,2024,06,21,09,47,22,,
111,2024-06-21 09:47:23,15.628,2024,06,21,09,47,23,,
111,2024-06-21 09:47:24,15.626999999999999,2024,06,21,09,47,24,,
111,2024-06-21 09:47:25,15.626999999999999,2024,06,21,09,47,25,,
111,2024-06-21 09:47:26,15.626999999999999,2024,06,21,09,47,26,,
111,2024-06-21 09:47:27,15.626999999999999,2024,06,21,09,47,27,,
111,2024-06-21 09:47:28,15.626999999999999,2024,06,21,09,47,28,,
111,2024-06-21 09:47:29,15.626999999999999,2024,06,21,09,47,29,,
111,2024-06-21 09:47:30,15.628,2024,06,21,09,47,30,,
111,2024-06-21 09:47:31,15.626999999999999,2024,06,21,09,47,31,,
111,2024-06-21 09:47:32,15.626999999999999,2024,06,21,09,47,32,,
111,2024-06-21 09:47:33,15.628,2024,06,21,09,47,33,,
111,2024-06-21 09:47:34,15.626999999999999,2024,06,21,09,47,34,,
111,2024-06-21 09:47:35,15.626999999999999,2024,06,21,09,47,35,,
111,2024-06-21 09:47:36,15.626999999999999,2024,06,21,09,47,36,,
111,2024-06-21 09:47:37,15.626999999999999,2024,06,21,09,47,37,,
111,2024-06-21 09:47:38,15.628,2024,06,21,09,47,38,,
111,2024-06-21 09:47:39,15.626999999999999,2024,06,21,09,47,39,,
111,2024-06-21 09:47:40,15.628,2024,06,21,09,47,40,,
111,2024-06-21 09:47:41,15.628,2024,06,21,09,47,41,,
111,2024-06-21 09:47:42,15.628,2024,06,21,09,47,42,,
111,2024-06-21 09:47:43,15.628,2024,06,21,09,47,43,,
111,2024-06-21 09:47:44,15.626999999999999,2024,06,21,09,47,44,,
111,2024-06-21 09:47:45,15.626999999999999,2024,06,21,09,47,45,,
111,2024-06-21 09:47:46,15.628,2024,06,21,09,47,46,,
111,2024-06-21 09:47:47,15.628,2024,06,21,09,47,47,,
111,2024-06-21 09:47:48,15.628,2024,06,21,09,47,48,,
111,2024-06-21 09:47:49,15.626999999999999,2024,06,21,09,47,49,,
111,2024-06-21 09:47:50,15.626999999999999,2024,06,21,09,47,50,,
111,2024-06-21 09:47:51,15.626999999999999,2024,06,21,09,47,51,,
111,2024-06-21 09:47:52,15.626999999999999,2024,06,21,09,47,52,,
111,2024-06-21 09:47:53,15.626999999999999,2024,06,21,09,47,53,,
111,2024-06-21 09:47:54,15.628,2024,06,21,09,47,54,,
111,2024-06-21 09:47:55,15.628,2024,06,21,09,47,55,,
111,2024-06-21 09:47:56,15.628,2024,06,21,09,47,56,,
111,2024-06-21 09:47:57,15.628,2024,06,21,09,47,57,,
111,2024-06-21 09:47:58,15.628,2024,06,21,09,47,58,,
111,2024-06-21 09:47:59,15.626999999999999,2024,06,21,09,47,59,,
111,2024-06-21 09:48:00,15.628,2024,06,21,09,48,0,,
111,2024-06-21 09:48:01,15.628,2024,06,21,09,48,1,,
111,2024-06-21 09:48:02,15.626999999999999,2024,06,21,09,48,2,,
111,2024-06-21 09:48:03,15.628,2024,06,21,09,48,3,,
111,2024-06-21 09:48:04,15.626999999999999,2024,06,21,09,48,4,,
111,2024-06-21 09:48:05,15.628,2024,06,21,09,48,5,,
111,2024-06-21 09:48:06,15.628,2024,06,21,09,48,6,,
111,2024-06-21 09:48:07,15.626999999999999,2024,06,21,09,48,7,,
111,2024-06-21 09:48:08,15.626999999999999,2024,06,21,09,48,8,,
111,2024-06-21 09:48:09,15.626999999999999,2024,06,21,09,48,9,,
